"ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,""2019"
"[note 1]"""
"ITL2,TLE3,South Yorkshire,""8,977"",""9,166"",""9,703"",""10,268"",""10,676"",""10,941"",""11,256"",""11,662"",""11,910"",""12,200"",""12,635"",""12,806"",""13,153"",""13,278"",""13,550"",""13,981"",""14,343"",""14,856"",""15,368"",""15,388"",""15,732"",""16,338"",""16,653"""
"ITL2,TLE4,West Yorkshire,""9,654"",""9,844"",""10,307"",""11,000"",""11,189"",""11,454"",""11,764"",""12,124"",""12,395"",""12,731"",""13,338"",""13,487"",""13,700"",""13,827"",""14,051"",""14,440"",""14,897"",""15,254"",""16,000"",""16,028"",""16,352"",""17,008"",""17,347"""
"ITL2,TLF1,Derbyshire,""9,372"",""9,645"",""10,153"",""10,585"",""11,042"",""11,402"",""11,811"",""12,252"",""12,565"",""12,988"",""13,711"",""13,928"",""14,146"",""14,095"",""14,335"",""14,861"",""15,362"",""15,790"",""16,642"",""16,598"",""16,898"",""17,539"",""18,025"""
"ITL2,TLF1,Nottinghamshire,""9,372"",""9,645"",""10,153"",""10,585"",""11,042"",""11,402"",""11,811"",""12,252"",""12,565"",""12,988"",""13,711"",""13,928"",""14,146"",""14,095"",""14,335"",""14,861"",""15,362"",""15,790"",""16,642"",""16,598"",""16,898"",""17,539"",""18,025"""
"ITL3,TLF21,Leicester,""8,375"",""8,164"",""8,636"",""9,173"",""9,472"",""9,734"",""9,917"",""10,161"",""10,130"",""10,320"",""10,816"",""10,690"",""10,944"",""11,217"",""11,308"",""11,722"",""11,977"",""12,231"",""12,706"",""12,918"",""13,210"",""13,512"",""13,802"""
"ITL3,TLF22,Leicestershire,""11,098"",""11,279"",""11,694"",""12,216"",""12,542"",""12,914"",""13,501"",""14,010"",""14,490"",""14,830"",""15,604"",""15,713"",""15,994"",""16,163"",""16,530"",""16,995"",""17,337"",""17,803"",""18,659"",""18,543"",""19,210"",""19,892"",""20,162"""
"ITL3,TLF22,Rutland,""11,098"",""11,279"",""11,694"",""12,216"",""12,542"",""12,914"",""13,501"",""14,010"",""14,490"",""14,830"",""15,604"",""15,713"",""15,994"",""16,163"",""16,530"",""16,995"",""17,337"",""17,803"",""18,659"",""18,543"",""19,210"",""19,892"",""20,162"""
"ITL3,TLF24,Northamptonshire,""10,928"",""11,019"",""11,468"",""12,346"",""12,713"",""12,838"",""13,196"",""13,650"",""14,247"",""14,853"",""16,022"",""16,067"",""15,938"",""16,072"",""17,103"",""17,832"",""18,287"",""18,874"",""20,011"",""20,146"",""20,683"",""21,748"",""22,227"""
"ITL2,TLF3,Scunthorpe,""10,045"",""10,260"",""10,614"",""11,067"",""11,394"",""11,674"",""12,160"",""12,610"",""13,160"",""13,394"",""14,179"",""14,514"",""14,778"",""15,050"",""15,470"",""15,919"",""16,213"",""16,656"",""17,215"",""17,230"",""17,651"",""18,322"",""18,783"""
"ITL2,TLF3,Lincolnshire,""10,045"",""10,260"",""10,614"",""11,067"",""11,394"",""11,674"",""12,160"",""12,610"",""13,160"",""13,394"",""14,179"",""14,514"",""14,778"",""15,050"",""15,470"",""15,919"",""16,213"",""16,656"",""17,215"",""17,230"",""17,651"",""18,322"",""18,783"""
"ITL3,TLG11,Herefordshire,""10,194"",""10,622"",""10,891"",""11,484"",""12,026"",""12,489"",""12,881"",""13,514"",""13,880"",""14,661"",""14,954"",""15,547"",""15,964"",""16,456"",""16,958"",""17,299"",""17,901"",""18,108"",""19,155"",""19,332"",""19,280"",""20,109"",""20,631"""
"ITL3,TLG12,Worcestershire,""11,157"",""11,720"",""12,044"",""12,490"",""12,950"",""13,392"",""13,607"",""14,311"",""14,968"",""15,713"",""15,860"",""16,226"",""16,497"",""16,483"",""16,810"",""17,278"",""17,942"",""18,583"",""19,704"",""20,066"",""20,253"",""21,254"",""21,755"""
"ITL3,TLG13,Warwickshire,""11,607"",""11,955"",""12,485"",""13,350"",""13,790"",""14,171"",""14,599"",""15,067"",""15,347"",""15,857"",""16,415"",""17,000"",""17,260"",""17,369"",""17,723"",""18,387"",""19,036"",""19,823"",""21,323"",""22,188"",""22,133"",""23,377"",""23,867"""
"ITL3,TLG21,Telford,""10,115"",""10,263"",""10,536"",""10,446"",""10,330"",""10,771"",""11,343"",""11,877"",""11,861"",""12,375"",""12,902"",""13,095"",""13,386"",""13,676"",""14,216"",""14,718"",""15,025"",""15,409"",""16,168"",""16,486"",""16,469"",""16,940"",""17,250"""
"ITL3,TLG22,Shropshire,""10,730"",""11,270"",""11,452"",""11,893"",""12,098"",""12,517"",""12,973"",""13,517"",""13,792"",""14,536"",""14,970"",""15,801"",""16,259"",""16,310"",""16,650"",""16,951"",""17,318"",""17,755"",""18,898"",""19,180"",""19,475"",""20,359"",""20,732"""
"ITL3,TLG23,Stoke-on-Trent,""8,283"",""8,364"",""8,974"",""9,363"",""9,398"",""9,548"",""9,850"",""10,164"",""10,737"",""10,851"",""11,437"",""11,593"",""11,819"",""12,004"",""12,378"",""12,748"",""13,209"",""13,467"",""14,010"",""14,070"",""14,274"",""15,063"",""15,455"""
"ITL3,TLG24,Staffordshire,""10,264"",""10,643"",""11,066"",""11,621"",""12,167"",""12,505"",""12,839"",""13,026"",""13,475"",""14,064"",""14,553"",""15,067"",""15,261"",""15,430"",""15,588"",""16,046"",""16,596"",""17,099"",""18,100"",""18,124"",""18,451"",""19,234"",""19,692"""
"ITL2,TLG3,Black Country,""9,151"",""9,369"",""9,763"",""10,380"",""10,715"",""10,942"",""11,084"",""11,440"",""11,518"",""11,780"",""12,113"",""12,348"",""12,652"",""12,903"",""13,084"",""13,433"",""13,807"",""14,293"",""14,881"",""15,097"",""15,198"",""15,738"",""16,074"""
"ITL2,TLH1,East Anglia,""10,402"",""10,580"",""11,037"",""11,762"",""12,191"",""12,565"",""12,729"",""13,158"",""13,763"",""14,096"",""14,713"",""15,301"",""15,637"",""15,912"",""16,122"",""16,758"",""17,237"",""17,746"",""18,684"",""18,902"",""19,219"",""20,015"",""20,532"""
"ITL3,TLH11,Peterborough,""9,874"",""10,141"",""10,949"",""11,639"",""11,906"",""12,130"",""12,116"",""12,243"",""12,586"",""13,246"",""13,860"",""14,040"",""14,002"",""14,271"",""14,408"",""14,876"",""15,330"",""16,012"",""16,698"",""16,918"",""17,103"",""17,686"",""18,124"""
"ITL3,TLH12,Cambridgeshire CC,""11,468"",""11,802"",""12,518"",""13,156"",""13,314"",""13,896"",""13,893"",""14,546"",""15,526"",""16,130"",""16,690"",""17,060"",""17,336"",""17,480"",""17,581"",""18,293"",""19,107"",""19,960"",""20,975"",""21,553"",""21,869"",""22,758"",""23,458"""
"ITL3,TLH14,Suffolk,""10,179"",""10,249"",""10,609"",""11,555"",""12,084"",""12,489"",""12,742"",""13,217"",""13,723"",""14,046"",""14,587"",""15,427"",""15,899"",""16,031"",""16,121"",""16,783"",""17,220"",""17,614"",""18,629"",""18,762"",""19,054"",""19,911"",""20,323"""
"ITL3,TLH15,Norwich and East Norfolk,""10,035"",""10,163"",""10,454"",""11,042"",""11,551"",""11,777"",""11,998"",""12,279"",""12,681"",""12,727"",""13,439"",""14,019"",""14,332"",""14,761"",""15,189"",""15,769"",""16,124"",""16,394"",""17,343"",""16,946"",""17,152"",""17,788"",""18,294"""
"ITL3,TLH16,North and West Norfolk,""9,501"",""9,632"",""9,983"",""10,593"",""11,236"",""11,546"",""11,790"",""12,052"",""12,594"",""12,653"",""13,364"",""14,077"",""14,610"",""15,224"",""15,635"",""16,246"",""16,613"",""16,908"",""17,632"",""17,811"",""18,369"",""19,296"",""19,938"""
"ITL3,TLH17,Breckland and South Norfolk,""10,316"",""10,479"",""10,696"",""11,328"",""11,884"",""12,052"",""12,286"",""12,629"",""13,129"",""13,281"",""14,021"",""14,585"",""14,773"",""15,217"",""15,579"",""16,188"",""16,286"",""16,686"",""17,601"",""18,092"",""18,513"",""19,175"",""19,516"""
"ITL3,TLH21,Luton,""9,252"",""8,851"",""9,387"",""9,991"",""10,564"",""10,930"",""11,211"",""11,485"",""11,704"",""11,814"",""12,179"",""12,339"",""12,529"",""12,813"",""13,005"",""13,403"",""13,678"",""14,165"",""14,637"",""15,389"",""16,153"",""16,541"",""16,873"""
"ITL3,TLH23,Hertfordshire,""13,231"",""13,708"",""14,000"",""15,164"",""15,892"",""16,198"",""16,501"",""16,900"",""17,484"",""18,249"",""19,217"",""19,649"",""20,128"",""20,135"",""20,237"",""21,124"",""22,167"",""22,978"",""24,463"",""24,635"",""25,156"",""26,257"",""26,790"""
"ITL3,TLH24,Bedford,""11,413"",""11,401"",""11,907"",""12,462"",""12,490"",""13,059"",""13,237"",""13,650"",""14,325"",""14,825"",""15,390"",""15,986"",""16,421"",""16,814"",""17,095"",""17,486"",""17,947"",""18,451"",""19,712"",""20,271"",""20,912"",""21,875"",""22,321"""
"ITL3,TLH25,Bedfordshire,""12,114"",""12,148"",""12,745"",""13,475"",""13,647"",""14,271"",""14,417"",""14,765"",""15,419"",""15,843"",""16,337"",""16,867"",""17,215"",""17,751"",""17,832"",""18,446"",""19,238"",""19,545"",""20,543"",""20,983"",""21,392"",""22,172"",""22,419"""
